Year,Month,"Supply Beginning cold-storage stocks 
[A]",Supply Production ,"Supply Imports 
[C]","Total supplys
= [A + B + C]","Utilization Exports 
[E]","Utilization Ending 
cold-storage stocks 
[F]","Utilization Domestic disappearance
= [D - E - F]"
2011,Jan,81.7,167.1,0.5,249.2,8,118.8,122.4
2011,Feb,118.8,150.1,0.5,269.3,11.3,138.7,119.4
2011,Mar,138.7,165.4,1.2,305.2,15.8,144.2,145.2
2011,Apr,144.2,158.7,0.6,303.5,15.1,141.7,146.7
2011,May,141.7,155.9,0.4,298,13.5,170.1,114.4
2011,Jun,170.1,141.3,0.6,312,10.8,190.3,110.9
2011,Jul,190.3,135.5,0.9,326.7,8.1,187.8,130.8
2011,Aug,187.8,133.7,0.5,322.1,10.1,165.7,146.3
2011,Sep,165.7,137.9,0.6,304.2,4,151,149.2
2011,Oct,151,145.7,1.2,297.9,5.5,130.7,161.7
2011,Nov,130.7,152.8,1.3,284.7,7.1,93.5,184.1
2011,Dec,93.5,165.9,2,261.4,5.9,106.9,148.7
2012,Jan,106.9,181.6,0.6,289,6.2,170.3,112.4
2012,Feb,170.3,170.6,0.6,341.5,7.7,205.2,128.6
2012,Mar,205.2,176.3,0.6,382,12.4,208.3,161.4
2012,Apr,208.3,169.9,0.5,378.6,12.2,254.2,112.2
2012,May,254.2,164.1,0.6,418.9,14.7,261.6,142.7
2012,Jun,261.6,137,0.5,399.2,7.3,243.2,148.7
2012,Jul,243.2,133.6,0.6,377.4,6.8,234.4,136.2
2012,Aug,234.4,129.5,2,365.9,5.5,201.1,159.2
2012,Sep,201.1,136.3,1.2,338.6,2.5,195.8,140.2
2012,Oct,195.8,144.5,3.6,343.9,8.2,145.1,190.7
2012,Nov,145.1,142.9,1.3,289.3,5.5,127.3,156.5
2012,Dec,127.3,173.1,3.2,303.7,6.5,153,144.1
2013,Jan,153,188,0.8,341.9,8.7,207.1,126.1
2013,Feb,207.1,173.3,0.9,381.3,9.4,238.3,133.6
2013,Mar,238.3,181.4,1,420.8,13.2,255,152.6
2013,Apr,255,166.7,0.8,422.4,8.8,309.7,103.9
2013,May,309.7,163.8,0.9,474.4,12.1,322,140.3
2013,Jun,322,140.1,0.7,462.8,15.9,318.9,128
2013,Jul,318.9,132.7,1.1,452.7,18.4,295.8,138.6
2013,Aug,295.8,134.4,1.1,431.3,14.9,263.9,152.4
2013,Sep,263.9,132.2,0.9,397,20.8,233,143.2
2013,Oct,233,145.9,1.2,380.2,19.8,181.8,178.5
2013,Nov,181.8,142.2,1,325,17.1,121.6,186.3
2013,Dec,121.6,161.7,1.2,284.6,19.2,112.5,152.9
2014,Jan,112.5,184,0.8,297.3,18.7,143.9,134.7
2014,Feb,143.9,166.1,1,311,15.8,171.8,123.4
2014,Mar,171.8,166.6,1.6,340,22.8,191.8,125.5
2014,Apr,191.8,167.7,1.6,361.1,17.6,186.9,156.5
2014,May,186.9,166.3,1.7,354.9,10.6,209.4,134.9
2014,Jun,209.4,140.4,1.5,351.3,11,199.2,141.1
2014,Jul,199.2,137.8,2,339.1,8.9,180.8,149.4
2014,Aug,180.8,129.1,2.7,312.6,7.1,172.8,132.8
2014,Sep,172.8,131.8,2.2,306.8,5.1,152.4,149.4
2014,Oct,152.4,151.2,2.4,305.9,3.4,148,154.5
2014,Nov,148,144.5,3.3,295.8,4.7,107.6,183.5
2014,Dec,107.6,169.8,3.3,280.6,4.4,104.7,171.5
2015,Jan,104.7,173.6,2.8,281.2,3.4,148.9,128.9
2015,Feb,148.9,156,2.9,307.8,4.1,179,124.6
2015,Mar,179,167.8,3.1,349.9,4.5,184.4,161
2015,Apr,184.4,165.5,2.6,352.5,4.7,232.4,115.4
2015,May,232.4,169.4,2.9,404.7,2.2,265.2,137.3
2015,Jun,265.2,143.7,2.9,411.8,2.9,256,152.9
2015,Jul,256,135.5,3.7,395.3,3.8,254.3,137.1
2015,Aug,254.3,128.1,5.3,387.8,4.8,212.2,170.8
