Year,Month,"Supply Beginning manufacturers' stocks For animal use 
[A]","Supply Beginning manufacturers' stocks For human use 
[B]","Total Supply Beginning manufacturers' stocks
[C] 
= [A + B]","Supply Production For animal use 
[D]","Supply Production For human use 
[E]","Total Supply Production
[F] 
= [D + E]","Supply Imports 
[G]","Total supply [H] 
= [C + F + G]","Utilization Exports1 
[I]","Utilization Ending manufacturers' stocks For animal use 
[J]","Utilization Ending manufacturers' stocks For human use 
[K]","Total Utilization Ending manufacturers' stocks 
[L] 
= [J + K]","Utilization Domestic disappearance 
[M] 
= [H - I - L]"
2011,Jan,4.4,42.6,47.0,4.6,85.6,90.2,0.1,137.3,43.0,3.7,45.9,49.6,44.7
2011,Feb,3.7,45.9,49.6,2.3,79.7,82.0,0.0,131.6,42.0,2.2,47.1,49.3,40.4
2011,Mar,2.2,47.1,49.3,2.2,92.1,94.3,0.0,143.6,52.8,2.0,49.0,51.0,39.9
2011,Apr,2.0,49.0,51.0,6.3,85.8,92.0,0.0,143.0,40.8,2.9,53.4,56.3,45.8
2011,May,2.9,53.4,56.3,4.4,86.9,91.3,0.0,147.6,44.1,2.2,49.1,51.4,52.2
2011,Jun,2.2,49.1,51.4,3.3,80.4,83.7,0.0,135.1,46.1,2.6,44.5,47.1,42.0
2011,Jul,2.6,44.5,47.1,3.3,78.4,81.8,0.0,128.8,45.6,4.0,43.9,47.9,35.3
2011,Aug,4.0,43.9,47.9,8.3,71.5,79.8,0.0,127.7,50.0,4.6,39.7,44.3,33.4
2011,Sep,4.6,39.7,44.3,7.5,69.3,76.8,0.0,121.1,42.4,4.5,39.4,43.9,34.8
2011,Oct,4.5,39.4,43.9,6.2,71.3,77.5,0.0,121.4,43.5,4.4,38.8,43.2,34.7
2011,Nov,4.4,38.8,43.2,5.2,72.5,77.6,0.0,120.8,46.2,3.9,37.5,41.4,33.2
2011,Dec,3.9,37.5,41.4,5.6,77.5,83.1,0.0,124.5,54.1,4.2,42.1,46.3,24.1
2012,Jan,4.2,42.1,46.3,6.0,89.6,95.6,0.0,141.9,48.4,4.5,46.6,51.1,42.3
2012,Feb,4.5,46.6,51.1,4.2,85.0,89.3,0.0,140.4,37.1,4.9,47.5,52.4,50.9
2012,Mar,4.9,47.5,52.4,5.0,83.3,88.3,0.0,140.8,41.6,3.8,48.5,52.4,46.9
2012,Apr,3.8,48.5,52.4,5.6,78.5,84.0,0.0,136.4,40.3,3.0,46.6,49.6,46.4
2012,May,3.0,46.6,49.6,4.3,82.5,86.8,0.0,136.4,48.2,3.0,44.7,47.8,40.4
2012,Jun,3.0,44.7,47.8,4.3,79.6,83.8,0.0,131.6,42.0,3.3,48.2,51.5,38.1
2012,Jul,3.3,48.2,51.5,3.9,75.9,79.8,0.0,131.3,38.2,3.0,44.6,47.6,45.5
2012,Aug,3.0,44.6,47.6,4.0,73.5,77.5,0.0,125.1,36.5,2.3,37.5,39.8,48.9
2012,Sep,2.3,37.5,39.8,4.2,70.6,74.8,0.0,114.6,33.7,2.5,40.1,42.5,38.3
2012,Oct,2.5,40.1,42.5,3.7,73.5,77.2,0.0,119.7,41.0,2.6,37.3,40.0,38.8
2012,Nov,2.6,37.3,40.0,3.3,69.3,72.6,0.0,112.5,38.8,2.7,38.4,41.1,32.7
2012,Dec,2.7,38.4,41.1,4.4,84.7,89.2,0.0,130.2,32.4,3.4,56.1,59.6,38.2
2013,Jan,3.4,56.1,59.6,4.4,82.2,86.6,0.0,146.1,41.2,4.8,61.8,66.5,38.4
2013,Feb,4.8,61.8,66.5,3.3,73.8,77.1,0.0,143.6,36.1,3.8,67.0,70.8,36.7
2013,Mar,3.8,67.0,70.8,4.6,78.7,83.2,0.0,154.0,39.1,3.6,74.3,77.9,37.1
