Year,Month,"Supply Beginning cold-storage stocks 
[A]",Supply Production ,"Supply Imports 
[C]","Total supplys
= [A + B + C]","Utilization Exports 
[E]","Utilization Ending 
cold-storage stocks 
[F]","Utilization Domestic disappearance
= [D - E - F]"
2011,Jan,81.3,81.1,1.3,163.7,36.9,79.6,47.3
2011,Feb,79.6,74.8,1.4,155.8,39.8,76.6,39.4
2011,Mar,76.6,85.3,1.6,163.5,35.1,73.7,54.7
2011,Apr,73.7,80.5,1.1,155.4,36.9,76.7,41.7
2011,May,76.7,87.3,0.9,164.9,35.7,74.3,55
2011,Jun,74.3,89.9,2,166.1,39.7,76.9,49.5
2011,Jul,76.9,85.3,1.3,163.5,38.3,76.1,49.1
2011,Aug,76.1,83.1,1.2,160.4,36.6,67.6,56.1
2011,Sep,67.6,82.9,1.4,151.9,32.4,69.6,49.9
2011,Oct,69.6,83.4,1.1,154.1,31.9,71.3,50.9
2011,Nov,71.3,81.7,1.5,154.4,32,65.6,56.8
2011,Dec,65.6,85,0.7,151.3,33.8,68.4,49.1
2012,Jan,68.4,86.8,0.9,156,32.8,65.7,57.6
2012,Feb,65.7,81.4,0.7,147.8,26.6,70.2,51
2012,Mar,70.2,90.9,0.8,161.9,36.7,74.6,50.6
2012,Apr,74.6,87.3,1.4,163.3,26.3,80.4,56.5
2012,May,80.4,87.5,1,169,27.4,84.8,56.7
2012,Jun,84.8,88.2,0.5,173.5,29,89.6,55
2012,Jul,89.6,84.4,1.5,175.4,30.8,89.3,55.3
2012,Aug,89.3,84.1,1.5,174.9,33.3,85.4,56.2
2012,Sep,85.4,85.3,0.7,171.3,34.1,82.4,54.9
2012,Oct,82.4,82.1,0.9,165.5,34,88.6,42.9
2012,Nov,88.6,80.2,0.5,169.3,33.2,87.4,48.7
2012,Dec,87.4,87.9,0.8,176.1,32.2,94.3,49.7
2013,Jan,94.3,85.3,1.1,180.6,40.1,89.8,50.7
2013,Feb,89.8,74.8,1.2,165.9,41.5,89.5,34.8
2013,Mar,89.5,89.4,1,179.9,38.7,93.1,48.1
2013,Apr,93.1,84.8,1,178.8,45.4,89.5,43.9
