Year,Month,"Supply Beginning cold-storage stocks 
[A]",Supply Production ,"Supply Imports 
[C]","Total supplys
= [A + B + C]","Utilization Exports 
[E]","Utilization Ending 
cold-storage stocks 
[F]","Utilization Domestic disappearance
= [D - E - F]"
2011,Jan,417.1,526.5,14.4,958.1,29.2,414.5,514.4
2011,Feb,414.5,477.4,17.6,909.4,31.7,414.3,463.4
2011,Mar,414.3,548.7,20.8,983.8,32.5,418.3,533
2011,Apr,418.3,527.5,18,963.7,27,418,518.7
2011,May,418,543.3,15.5,976.8,29.7,426.5,520.6
2011,Jun,426.5,527,16.2,969.7,29.8,432.3,507.6
2011,Jul,432.3,505.8,17.9,956.1,22.5,436.1,497.5
2011,Aug,436.1,524.3,19,979.4,24.7,418.1,536.7
2011,Sep,418.1,530.3,17.3,965.7,23.1,406.8,535.7
2011,Oct,406.8,547.5,23.8,978.1,26.8,398.3,553
2011,Nov,398.3,547.3,24.5,970.1,30.2,385,554.9
2011,Dec,385,562.7,22.8,970.5,28,380.6,561.9
2012,Jan,380.6,545.2,15.8,941.7,27.1,377.9,536.7
2012,Feb,377.9,516.8,15.5,910.2,29.4,391.8,489
2012,Mar,391.8,577.6,18.3,987.6,36.3,394.5,556.8
2012,Apr,394.5,535.2,17.5,947.2,37.1,408.6,501.5
2012,May,408.6,550.6,18.6,977.8,45.2,417,515.5
2012,Jun,417,540.9,15.7,973.6,34.7,432.6,506.4
2012,Jul,432.6,526.5,18.6,977.6,36.2,421.9,519.6
2012,Aug,421.9,538.1,18.5,978.4,33.6,400.1,544.7
2012,Sep,400.1,523.1,21.2,944.3,30.4,398.3,515.6
2012,Oct,398.3,560.2,20.4,978.9,30.8,384.4,563.8
2012,Nov,384.4,549.7,31.4,965.6,33.7,374.2,557.6
2012,Dec,374.2,567.1,31.9,973.2,35.3,387.5,550.3
2013,Jan,387.5,554.4,14.2,956.2,32.6,389,534.5
2013,Feb,389,501.4,18.1,908.6,31,407.7,469.8
2013,Mar,407.7,569.5,18.7,995.9,41.9,421.1,532.9
2013,Apr,421.1,552.9,18.7,992.7,41.3,422.6,528.7
2013,May,422.6,556.3,16.7,995.7,46.3,435.4,513.9
2013,Jun,435.4,549.1,17.7,"1,002.10",39.4,438.8,524
2013,Jul,438.8,548.2,20.7,"1,007.70",42.2,444.2,521.3
2013,Aug,444.2,550.5,18.1,"1,012.80",42.2,432,538.6
2013,Sep,432,551.7,21.2,"1,004.90",41,409.7,554.2
2013,Oct,409.7,583.6,23.9,"1,017.20",43.8,393.6,579.8
2013,Nov,393.6,566.2,23.8,983.6,45.1,382.6,555.8
2013,Dec,382.6,597.8,21.4,"1,001.90",50,391.1,560.7
2014,Jan,391.1,574,14.9,980,47.1,384.2,548.6
2014,Feb,384.2,514,14.7,912.9,46.4,381.5,485.1
2014,Mar,381.5,589,19.9,990.3,53.4,379.2,557.7
2014,Apr,379.2,582,17.3,978.5,49.9,388.7,539.9
2014,May,388.7,578,17.6,984.3,48.8,409.1,526.3
2014,Jun,409.1,576.7,18.9,"1,004.60",53.8,400.2,550.7
2014,Jul,400.2,579.8,20.7,"1,000.70",54,394.5,552.2
2014,Aug,394.5,559.4,19.1,973,54.1,392.6,526.3
2014,Sep,392.6,573.1,22,987.7,46.8,382.5,558.5
2014,Oct,382.5,594.4,25.9,"1,002.80",45.4,372.3,585.1
2014,Nov,372.3,581.7,32.1,986.1,43.7,381.4,561
2014,Dec,381.4,622.1,32.6,"1,036.10",46.6,390.2,599.4
2015,Jan,390.2,591.8,15.6,997.6,40.8,412.2,544.6
2015,Feb,412.2,539.3,18.8,970.4,56.3,421.4,492.7
