Year,Month,"Supply Beginning manufacturers' stocks For animal use 
[A]","Supply Beginning manufacturers' stocks For human use 
[B]","Total Supply Beginning manufacturers' stocks
[C] 
= [A + B]","Supply Production For animal use 
[D]","Supply Production For human use 
[E]","Total Supply Production
[F] 
= [D + E]","Supply Imports 
[G]","Total supply [H] 
= [C + F + G]","Utilization Exports1 
[I]","Utilization Ending manufacturers' stocks For animal use 
[J]","Utilization Ending manufacturers' stocks For human use 
[K]","Total Utilization Ending manufacturers' stocks 
[L] 
= [J + K]","Domestic disappearance 
[M] 
= [H - I - L]"
2011,Jan,1.8,35.0,36.8,2.3,32.6,34.9,0.9,72.6,23.6,1.4,32.4,33.8,15.2
2011,Feb,1.4,32.4,33.8,2.8,29.9,32.7,0.9,67.4,14.8,1.4,32.0,33.4,19.2
2011,Mar,1.4,32.0,33.4,2.7,34.2,36.8,1.0,71.2,19.0,1.5,28.8,30.3,21.9
2011,Apr,1.5,28.8,30.3,3.1,31.6,34.7,1.3,66.2,16.7,1.7,30.4,32.1,17.4
2011,May,1.7,30.4,32.1,2.9,33.8,36.7,1.9,70.7,19.5,1.3,30.1,31.4,19.8
2011,Jun,1.3,30.1,31.4,3.5,32.8,36.3,2.1,69.8,17.5,1.9,32.9,34.8,17.5
2011,Jul,1.9,32.9,34.8,2.8,31.9,34.7,2.3,71.8,18.7,1.2,34.2,35.4,17.6
2011,Aug,1.2,34.2,35.4,2.2,33.0,35.2,2.0,72.7,21.9,2.9,35.5,38.4,12.4
2011,Sep,2.9,35.5,38.4,2.4,33.2,35.6,1.5,75.4,17.9,2.3,36.0,38.3,19.3
2011,Oct,2.3,36.0,38.3,2.9,34.5,37.3,1.1,76.7,21.3,2.5,35.8,38.3,17.2
2011,Nov,2.5,35.8,38.3,2.4,34.4,36.8,1.2,76.2,25.7,2.0,38.7,40.7,9.9
2011,Dec,2.0,38.7,40.7,2.2,37.1,39.3,1.6,81.6,18.3,1.7,40.1,41.8,21.5
2012,Jan,1.7,40.1,41.8,2.3,36.5,38.8,2.6,83.2,12.4,1.5,41.7,43.2,27.5
2012,Feb,1.5,41.7,43.2,2.2,32.9,35.1,2.2,80.5,14.0,1.8,40.2,42.0,24.5
2012,Mar,1.8,40.2,42.0,2.5,38.9,41.4,2.5,85.9,19.3,1.7,45.9,47.6,19.0
2012,Apr,1.7,45.9,47.6,2.5,36.6,39.1,2.1,88.8,19.9,2.0,46.6,48.6,20.3
2012,May,2.0,46.6,48.6,2.4,36.0,38.4,2.6,89.6,22.7,2.5,49.4,51.9,15.0
2012,Jun,2.5,49.4,51.9,3.0,36.9,39.9,2.7,94.5,26.1,2.7,53.9,56.6,11.8
2012,Jul,2.7,53.9,56.6,2.2,33.4,35.6,2.5,94.7,32.0,2.4,55.1,57.5,5.1
2012,Aug,2.4,55.1,57.5,2.0,34.8,36.8,1.8,96.1,28.1,2.6,52.2,54.8,13.2
2012,Sep,2.6,52.2,54.8,2.7,34.8,37.5,2.3,94.6,31.0,2.8,53.0,55.8,7.8
2012,Oct,2.8,53.0,55.8,2.2,36.4,38.6,2.6,97.0,23.6,2.7,53.8,56.5,16.9
2012,Nov,2.7,53.8,56.5,1.8,35.9,37.7,1.9,96.1,19.9,2.3,49.2,51.5,24.7
2012,Dec,2.3,49.2,51.5,2.7,37.7,40.5,2.0,94.0,17.6,2.3,48.9,51.2,25.2
2013,Jan,2.3,48.9,51.2,1.0,38.3,39.3,2.3,92.7,18.6,1.9,55.4,57.3,16.8
2013,Feb,1.9,55.4,57.3,0.5,36.4,36.9,2.2,96.4,18.6,1.4,55.1,56.5,21.3
2013,Mar,1.4,55.1,56.5,0.9,40.8,41.7,1.9,100.2,19.0,1.6,56.6,58.2,23.0
2013,Apr,1.6,56.6,58.2,0.8,39.6,40.4,2.1,100.6,21.1,1.6,54.6,56.2,23.3
2013,May,1.6,54.6,56.2,1.1,42.3,43.4,2.1,101.6,26.4,1.9,56.7,58.6,16.6
2013,Jun,1.9,56.7,58.6,1.0,40.5,41.5,3.5,103.6,23.5,1.9,58.2,60.1,20.0
2013,Jul,1.9,58.2,60.1,0.7,39.6,40.3,2.8,103.2,23.2,2.1,51.3,53.3,26.6
2013,Aug,2.1,51.3,53.3,0.6,38.8,39.5,3.4,96.2,24.5,1.4,49.0,50.4,21.3
2013,Sep,1.4,49.0,50.4,0.6,38.8,39.4,2.8,92.6,18.5,1.4,46.8,48.2,25.9
2013,Oct,1.4,46.8,48.2,0.7,44.9,45.5,3.5,97.2,17.6,1.1,49.2,50.4,29.2
2013,Nov,1.1,49.2,50.4,0.6,42.6,43.2,3.4,96.9,20.2,1.2,47.9,49.1,27.6
2013,Dec,1.2,47.9,49.1,0.6,46.0,46.6,3.6,99.2,22.5,1.0,49.0,50.0,26.8
2014,Jan,1.0,49.0,50.0,0.4,43.9,44.3,3.6,97.9,16.2,1.0,48.8,49.7,31.9
2014,Feb,1.0,48.8,49.7,0.3,41.9,42.2,4.6,96.5,20.1,0.9,49.8,50.7,25.7
2014,Mar,0.9,49.8,50.7,0.4,44.7,45.1,4.7,100.5,24.5,1.2,49.4,50.6,25.3
2014,Apr,1.2,49.4,50.6,0.5,45.6,46.1,5.6,102.4,22.2,1.3,46.6,47.9,32.3
2014,May,1.3,46.6,47.9,0.9,45.7,46.6,5.2,99.7,19.9,1.4,46.9,48.3,31.5
2014,Jun,1.4,46.9,48.3,0.8,43.1,43.9,4.8,97.0,16.0,1.5,54.3,55.8,25.2
2014,Jul,1.5,54.3,55.8,0.7,44.1,44.9,5.2,105.9,23.1,1.7,56.8,58.4,24.3
2014,Aug,1.7,56.8,58.4,0.8,44.2,44.9,4.8,108.2,15.8,1.2,52.3,53.5,39.0
2014,Sep,1.2,52.3,53.5,0.7,40.9,41.6,5.1,100.2,14.9,1.2,52.6,53.8,31.5
2014,Oct,1.2,52.6,53.8,0.4,46.6,47.0,5.4,106.2,16.6,1.1,56.7,57.9,31.7
2014,Nov,1.1,56.7,57.9,0.7,45.4,46.1,4.5,108.4,15.1,1.3,59.4,60.7,32.7
2014,Dec,1.3,59.4,60.7,0.4,47.0,47.4,5.3,113.4,18.2,1.0,64.5,65.5,29.6
2015,Jan,1.0,64.5,65.5,0.3,43.7,44.1,6.1,115.7,13.1,1.1,68.1,69.2,33.4
2015,Feb,1.1,68.1,69.2,0.3,38.0,38.4,5.2,112.7,15.2,0.9,68.2,69.1,28.4
2015,Mar,0.9,68.2,69.1,0.5,41.8,42.2,5.7,117.0,16.9,1.1,71.7,72.8,27.3
2015,Apr,1.1,71.7,72.8,0.4,42.0,42.4,4.6,119.8,21.4,1.0,73.4,74.4,24.0
2015,May,1.0,73.4,74.4,0.4,43.4,43.8,5.1,123.3,20.7,1.6,75.8,77.5,25.1
2015,Jun,1.6,75.8,77.5,1.2,38.1,39.3,5.0,121.8,17.3,1.5,80.2,81.6,22.8
2015,Jul,1.5,80.2,81.6,0.3,41.4,41.7,5.7,129.1,16.5,1.1,81.6,82.7,29.9
2015,Aug,1.1,81.6,82.7,0.5,38.9,39.4,4.7,126.9,19.5,0.7,82.7,83.4,24.0
2015,Sep,0.7,82.7,83.4,0.2,37.2,37.5,3.8,124.7,29.0,0.8,81.2,82.0,13.7
2015,Oct,0.8,81.2,82.0,0.3,41.0,41.3,4.7,128.0,22.2,1.2,73.1,74.3,31.5
2015,Nov,1.2,73.1,74.3,0.2,39.9,40.1,5.0,119.5,18.9,1.0,71.5,72.5,28.1
2015,Dec,1.0,71.5,72.5,0.2,42.6,42.8,4.8,120.0,18.5,0.8,72.2,73.0,28.5
2016,Jan,0.8,72.2,73.0,0.2,42.4,42.6,6.2,121.8,19.9,1.3,74.8,76.1,25.8
2016,Feb,1.3,74.8,76.1,0.2,39.6,39.8,7.0,122.9,19.8,0.7,74.7,75.3,27.8
2016,Mar,0.7,74.7,75.3,0.2,41.6,41.9,5.9,123.1,18.0,0.7,72.0,72.8,32.3
2016,Apr,0.7,72.0,72.8,0.4,38.6,39.0,6.2,118.0,28.1,0.7,71.0,71.6,18.3
2016,May,0.7,71.0,71.6,0.3,39.0,39.3,6.1,117.1,28.7,0.6,68.2,68.8,19.6
2016,Jun,0.6,68.2,68.8,0.2,37.8,38.0,6.2,113.1,35.1,0.5,65.1,65.6,12.4
2016,Jul,0.5,65.1,65.6,0.3,38.2,38.4,5.8,109.8,26.2,0.6,61.6,62.2,21.5
2016,Aug,0.6,61.6,62.2,0.2,35.5,35.7,5.9,103.8,28.9,0.5,64.1,64.6,10.3
2016,Sep,0.5,64.1,64.6,0.7,36.0,36.7,6.4,107.7,29.9,0.8,58.3,59.1,18.8
2016,Oct,0.8,58.3,59.1,0.2,37.8,38.1,5.2,102.4,26.8,0.7,61.2,61.9,13.7
2016,Nov,0.7,61.2,61.9,0.3,39.2,39.4,6.1,107.4,27.9,0.5,66.0,66.5,12.9
2016,Dec,0.5,66.0,66.5,0.3,39.2,39.5,6.4,112.4,26.6,0.7,61.1,61.8,24.0
2017,Jan,0.7,61.1,61.8,0.3,40.4,40.7,5.2,107.7,29.3,1.4,59.3,60.7,17.7
2017,Feb,1.4,59.3,60.7,0.3,36.2,36.5,6.1,103.2,25.9,0.6,59.6,60.2,17.1
2017,Mar,0.6,59.6,60.2,0.4,42.3,42.7,5.8,108.8,24.9,0.5,61.8,62.3,21.6
2017,Apr,0.5,61.8,62.3,0.5,41.9,42.5,6.8,111.5,23.3,0.9,64.3,65.1,23.1
2017,May,0.9,64.3,65.1,0.4,41.6,42.0,6.4,113.5,21.6,0.9,67.3,68.2,23.7
2017,Jun,0.9,67.3,68.2,1.3,39.4,40.7,6.1,115.0,22.3,1.2,67.5,68.7,24.0
2017,Jul,1.2,67.5,68.7,1.1,40.5,41.6,5.4,115.7,27.1,1.6,68.7,70.4,18.2
2017,Aug,1.6,68.7,70.4,0.8,38.0,38.7,5.8,114.9,31.6,1.3,70.1,71.4,11.9
2017,Sep,1.3,70.1,71.4,0.2,38.9,39.1,5.6,116.1,21.6,0.4,71.3,71.7,22.9
2017,Oct,0.4,71.3,71.7,0.7,40.5,41.2,5.5,118.4,30.6,0.9,75.6,76.5,11.3
2017,Nov,0.9,75.6,76.5,0.6,40.4,40.9,5.5,123.0,30.2,0.7,80.8,81.6,11.3
2017,Dec,0.7,80.8,81.6,0.5,41.8,42.3,6.1,129.9,31.8,0.7,83.9,84.6,13.5
2018,Jan,0.7,83.9,84.6,0.3,44.0,44.3,6.2,135.0,34.4,0.6,83.9,84.5,16.2
2018,Feb,0.6,83.9,84.5,0.3,40.8,41.2,5.2,130.9,26.3,0.7,79.7,80.4,24.2
2018,Mar,0.7,79.7,80.4,1.2,49.3,50.5,5.7,136.6,36.3,1.1,77.9,78.9,21.4
2018,Apr,1.1,77.9,78.9,0.4,41.5,41.9,5.5,126.3,42.1,0.8,74.9,75.7,8.5
2018,May,0.8,74.9,75.7,0.4,42.1,42.4,5.4,123.5,33.0,0.8,69.9,70.6,19.8
2018,Jun,0.8,69.9,70.6,0.3,40.7,41.0,5.7,117.3,22.5,0.7,64.4,65.1,29.7
2018,Jul,0.7,64.4,65.1,0.4,40.5,40.9,5.9,111.9,21.8,1.9,58.9,60.7,29.3
2018,Aug,1.9,58.9,60.7,0.5,42.3,42.9,6.3,109.9,28.5,0.9,61.9,62.8,18.5
2018,Sep,0.9,61.9,62.8,1.0,41.0,42.0,5.7,110.5,26.0,0.9,59.9,60.8,23.8
2018,Oct,0.9,59.9,60.8,0.4,42.0,42.4,5.5,108.7,22.7,0.9,60.9,61.7,24.2
2018,Nov,0.9,60.9,61.7,0.2,40.7,40.9,6.1,108.7,21.5,0.9,63.4,64.3,22.9
2018,Dec,0.9,63.4,64.3,0.7,43.1,43.7,5.7,113.7,15.0,1.1,64.0,65.1,33.6
2019,Jan,1.1,64.0,65.1,1.5,42.4,43.9,6.4,115.4,14.8,1.3,61.3,62.7,37.9
